2197                0 1 0 0 4 1 0 0 0 0    jrsr/conj/first/last
2197                0 3 0 0 4 0 0 0 0 0    jrsr/conj/first/last
261967              0 1 2 0 6 1 0 0 0 0    jrsr/initial/conj/first/initial/last
261967              0 4 5 0 6 0 0 0 0 0    jrsr/initial/conj/first/initial/last
26197               0 1 2 0 5 1 0 0 0 0    jrsr/initial/conj/first/last
26197               0 4 0 0 5 0 0 0 0 0    jrsr/initial/conj/first/last
267                 0 1 2 0 3 1 0 0 0 0    jrsr/initial/last
27                  0 1 0 0 2 1 0 0 0 0    jrsr/last
3137                1 0 0 0 4 0 0 0 0 0    title/conj/title/last
3137                3 0 0 0 4 0 0 0 0 0    title/conj/title/last
31372               1 0 0 0 4 5 0 0 0 0    title/conj/title/last
31372               3 0 0 0 4 0 0 0 0 0    title/conj/title/last/jrsr
313724              1 0 0 0 4 5 6 0 0 0    title/conj/title/last
313724              3 0 0 0 4 0 0 0 0 0    title/conj/title/last/jrsr
31374               1 0 0 0 4 0 5 0 0 0    title/conj/title/last/suffix
31374               3 0 0 0 4 0 0 0 0 0    title/conj/title/last/suffix
31387               1 0 0 4 5 0 0 0 0 0    title/conj/title/prefix/last
31387               3 0 0 4 5 0 0 0 0 0    title/conj/title/prefix/last
313872              1 0 0 4 5 6 0 0 0 0    title/conj/title/prefix/last/jrsr
313872              3 0 0 4 5 0 0 0 0 0    title/conj/title/prefix/last/jrsr
3138724             1 0 0 4 5 6 7 0 0 0    title/conj/title/prefix/last/jrsr
3138724             3 0 0 4 5 0 0 0 0 0    title/conj/title/prefix/last/jrsr
313874              1 0 0 4 5 0 6 0 0 0    title/conj/title/prefix/last/suffix
313874              3 0 0 4 5 0 0 0 0 0    title/conj/title/prefix/last/suffix
31967               0 3 4 0 5 0 0 0 0 0    title/conj/first/initial/last
31967               1 0 0 0 5 0 0 0 0 0    title/conj/first/initial/last
3197                0 3 0 0 4 0 0 0 0 0    title/conj/first/last
3197                1 0 0 0 4 0 0 0 0 0    title/conj/first/last
361367              1 2 0 0 6 0 0 0 0 0    title/initial/conj/title/initial/last
361367              4 5 0 0 6 0 0 0 0 0    title/initial/conj/title/initial/last
3613672             1 2 0 0 6 7 0 0 0 0    title/initial/conj/title/initial/last/jrsr
3613672             4 5 0 0 6 0 0 0 0 0    title/initial/conj/title/initial/last/jrsr
36136724            1 2 0 0 6 7 8 0 0 0    title/initial/conj/title/initial/last/jrsr
36136724            4 5 0 0 6 0 0 0 0 0    title/initial/conj/title/initial/last/jrsr
3613674             1 2 0 0 6 0 7 0 0 0    title/initial/conj/title/initial/last/suffix
3613674             4 5 0 0 6 0 0 0 0 0    title/initial/conj/title/initial/last/suffix
3613687             1 2 0 6 7 0 0 0 0 0    title/initial/conj/title/initial/prefix/last
3613687             4 5 0 6 7 0 0 0 0 0    title/initial/conj/title/initial/prefix/last
36136872            1 2 0 6 7 8 0 0 0 0    title/initial/conj/title/initial/prefix/last/jrsr
36136872            4 5 0 6 7 0 0 0 0 0    title/initial/conj/title/initial/prefix/last/jrsr
361368724           1 2 0 6 7 8 9 0 0 0    title/initial/conj/title/initial/prefix/last/jrsr
361368724           4 5 0 6 7 0 0 0 0 0    title/initial/conj/title/initial/prefix/last/jrsr
36136874            1 2 0 6 7 0 8 0 0 0    title/initial/conj/title/initial/prefix/last/suffix
36136874            4 5 0 6 7 0 0 0 0 0    title/initial/conj/title/initial/prefix/last/suffix
361967              0 4 5 0 6 0 0 0 0 0    title/initial/conj/first/initial/last
361967              1 2 0 0 6 0 0 0 0 0    title/initial/conj/first/initial/last
36613667            1 2 3 0 8 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/last
36613667            5 6 7 0 8 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/last
366136672           1 2 3 0 8 9 0 0 0 0    title/initial/initial/conj/title/initial/initial/last/jrsr
366136672           5 6 7 0 8 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/last/jrsr
3661366724          1 2 3 0 8 910 0 0 0    title/initial/initial/conj/title/initial/initial/last/jrsr
3661366724          5 6 7 0 8 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/last/jrsr
366136674           1 2 3 0 8 0 9 0 0 0    title/initial/initial/conj/title/initial/initial/last/suffix
366136674           5 6 7 0 8 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/last/suffix
366136687           1 2 3 8 9 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last
366136687           5 6 7 8 9 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last
3661366872          1 2 3 8 910 0 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last/jrsr
3661366872          5 6 7 8 9 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last/jrsr
36613668724         1 2 3 8 91011 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last/jrsr
36613668724         5 6 7 8 9 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last/jrsr
3661366874          1 2 3 8 9 010 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last/suffix
3661366874          5 6 7 8 9 0 0 0 0 0    title/initial/initial/conj/title/initial/initial/prefix/last/suffix
3661667             0 5 6 0 7 0 0 0 0 0    title/initial/initial/conj/initial/initial/last
3661667             1 2 3 0 7 0 0 0 0 0    title/initial/initial/conj/initial/initial/last
366197              0 5 0 0 6 0 0 0 0 0    title/initial/initial/conj/first/last
366197              1 2 3 0 6 0 0 0 0 0    title/initial/initial/conj/first/last
3667                1 2 3 0 4 0 0 0 0 0    title/initial/initial/last
36672               1 2 3 0 4 5 0 0 0 0    title/initial/initial/last/jrsr
366724              1 2 3 0 4 5 6 0 0 0    title/initial/initial/last/jrsr/suffix
36674               1 2 3 0 4 0 5 0 0 0    title/initial/initial/last/suffix
36687               1 2 3 4 5 0 0 0 0 0    title/initial/initial/prefix/last
366872              1 2 3 4 5 6 0 0 0 0    title/initial/initial/prefix/last/jrsr
3668724             1 2 3 4 5 6 7 0 0 0    title/initial/initial/prefix/last/jrsr/suffix
366874              1 2 3 4 5 0 6 0 0 0    title/initial/initial/prefix/last/suffix
36691397            1 2 3 0 4 0 0 0 0 0    title/initial/initial/first(last)/conj/title/first/last
36691397            6 7 0 0 8 0 0 0 0 0    title/initial/initial/first(last)/conj/title/first/last
367                 1 2 0 0 3 0 0 0 0 0    title/initial/last
3672                1 2 0 0 3 4 0 0 0 0    title/initial/last/jrsr
36724               1 2 0 0 3 4 5 0 0 0    title/initial/last/jrsr/suffix
3674                1 2 0 0 3 0 4 0 0 0    title/initial/last/suffix
3687                1 2 0 3 4 0 0 0 0 0    title/initial/prefix/last
36872               1 2 0 3 4 5 0 0 0 0    title/initial/prefix/last/jrsr
368724              1 2 0 3 4 5 6 0 0 0    title/initial/prefix/last/jrsr/suffix
36874               1 2 0 3 4 0 5 0 0 0    title/initial/prefix/last/suffix
36913697            1 2 3 0 8 0 0 0 0 0    title/initial/first/conj/title/initial/first/last
36913697            5 6 7 0 8 0 0 0 0 0    title/initial/first/conj/title/initial/first/last
369136972           1 2 3 0 8 9 0 0 0 0    title/initial/first/conj/title/initial/first/last/jrsr
369136972           5 6 7 0 8 0 0 0 0 0    title/initial/first/conj/title/initial/first/last/jrsr
3691369724          1 2 3 0 8 910 0 0 0    title/initial/first/conj/title/initial/first/last/jrsr
3691369724          5 6 7 0 8 0 0 0 0 0    title/initial/first/conj/title/initial/first/last/jrsr
369136974           1 2 3 0 8 0 9 0 0 0    title/initial/first/conj/title/initial/first/last/suffix
369136974           5 6 7 0 8 0 0 0 0 0    title/initial/first/conj/title/initial/first/last/suffix
369136987           1 2 3 8 9 0 0 0 0 0    title/initial/first/conj/title/initial/first/prefix/last
369136987           5 6 7 8 9 0 0 0 0 0    title/initial/first/conj/title/initial/first/prefix/last
3691369872          1 2 3 8 910 0 0 0 0    title/initial/first/conj/title/initial/first/prefix/last/jrsr
3691369872          5 6 7 8 9 0 0 0 0 0    title/initial/first/conj/title/initial/first/prefix/last/jrsr
36913698724         1 2 3 8 91011 0 0 0    title/initial/first/conj/title/initial/first/prefix/last/jrsr
36913698724         5 6 7 8 9 0 0 0 0 0    title/initial/first/conj/title/initial/first/prefix/last/jrsr
3691369874          1 2 3 8 9 010 0 0 0    title/initial/first/conj/title/initial/first/prefix/last/suffix
3691369874          5 6 7 8 9 0 0 0 0 0    title/initial/first/conj/title/initial/first/prefix/last/suffix
3697                1 2 3 0 4 0 0 0 0 0    title/initial/first/last
36972               1 2 3 0 4 5 0 0 0 0    title/initial/first/last/jrsr
369724              1 2 3 0 4 5 6 0 0 0    title/initial/first/last/jrsr/suffix
36974               1 2 3 0 4 0 5 0 0 0    title/initial/first/last/suffix
36987               1 2 3 4 5 0 0 0 0 0    title/initial/first/prefix/last
369872              1 2 3 4 5 6 0 0 0 0    title/initial/first/prefix/last/jrsr
3698724             1 2 3 4 5 6 7 0 0 0    title/initial/first/prefix/last/jrsr/suffix
369874              1 2 3 4 5 0 6 0 0 0    title/initial/first/prefix/last/suffix
37                  1 0 0 0 2 0 0 0 0 0    title/last name
372                 1 0 0 0 2 3 0 0 0 0    title/last name/jrsr
3724                1 0 0 0 2 3 4 0 0 0    title/last name/jrsr/suffix
374                 1 0 0 0 2 0 3 0 0 0    title/last name/suffix
3867                1 2 3 0 4 0 0 0 0 0    title/prefix/initial/last
38672               1 2 3 0 4 5 0 0 0 0    title/prefix/initial/last/jrsr
386724              1 2 3 0 4 5 6 0 0 0    title/prefix/initial/last/jrsr/suffix
38674               1 2 3 0 4 0 5 0 0 0    title/prefix/initial/last/suffix
387                 1 2 0 0 3 0 0 0 0 0    title/prefix/last
3872                1 2 0 0 3 4 0 0 0 0    title/prefix/last/jrsr
38724               1 2 0 0 3 4 5 0 0 0    title/prefix/last/jrsr/suffix
3874                1 2 0 0 3 0 4 0 0 0    title/prefix/last/suffix
3897                1 2 3 0 4 0 0 0 0 0    title/prefix/first/last
38972               1 2 3 0 4 5 0 0 0 0    title/prefix/first/last/jrsr
389724              1 2 3 0 4 5 6 0 0 0    title/prefix/first/last/jrsr/suffix
38974               1 2 3 0 4 0 5 0 0 0    title/prefix/first/last/suffix
391397              1 2 0 0 6 0 0 0 0 0    title/first/conj/title/first/last
391397              4 5 0 0 6 0 0 0 0 0    title/first/conj/title/first/last
3913972             1 2 0 0 6 7 0 0 0 0    title/first/conj/title/first/last/jrsr
3913972             4 5 0 0 6 0 0 0 0 0    title/first/conj/title/first/last/jrsr
39139724            1 2 0 0 6 7 8 0 0 0    title/first/conj/title/first/last/jrsr
39139724            4 5 0 0 6 0 0 0 0 0    title/first/conj/title/first/last/jrsr
3913974             1 2 0 0 6 0 7 0 0 0    title/first/conj/title/first/last/suffix
3913974             4 5 0 0 6 0 0 0 0 0    title/first/conj/title/first/last/suffix
3913987             1 2 0 6 7 0 0 0 0 0    title/first/conj/title/first/prefix/last
3913987             4 5 0 6 7 0 0 0 0 0    title/first/conj/title/first/prefix/last
39139872            1 2 0 6 7 8 0 0 0 0    title/first/conj/title/first/prefix/last/jrsr
39139872            4 5 0 6 7 0 0 0 0 0    title/first/conj/title/first/prefix/last/jrsr
391398724           1 2 0 6 7 8 9 0 0 0    title/first/conj/title/first/prefix/last/jrsr
391398724           4 5 0 6 7 0 0 0 0 0    title/first/conj/title/first/prefix/last/jrsr
39139874            1 2 0 6 7 0 8 0 0 0    title/first/conj/title/first/prefix/last/suffix
39139874            4 5 0 6 7 0 0 0 0 0    title/first/conj/title/first/prefix/last/suffix
391967              0 4 5 0 6 0 0 0 0 0    title/first/conj/first/initial/last
391967              1 2 0 0 6 0 0 0 0 0    title/first/conj/first/initial/last
39197               0 4 0 0 5 0 0 0 0 0    title/first/conj/fisrt/last
39197               1 2 0 0 5 0 0 0 0 0    title/first/conj/fisrt/last
39613967            1 2 3 0 8 0 0 0 0 0    title/first/initial/conj/title/first/initial/last
39613967            5 6 7 0 8 0 0 0 0 0    title/first/initial/conj/title/first/initial/last
396139672           1 2 3 0 8 9 0 0 0 0    title/first/initial/conj/title/first/initial/last/jrsr
396139672           5 6 7 0 8 0 0 0 0 0    title/first/initial/conj/title/first/initial/last/jrsr
3961396724          1 2 3 0 8 910 0 0 0    title/first/initial/conj/title/first/initial/last/jrsr
3961396724          5 6 7 0 8 0 0 0 0 0    title/first/initial/conj/title/first/initial/last/jrsr
396139674           1 2 3 0 8 0 9 0 0 0    title/first/initial/conj/title/first/initial/last/suffix
396139674           5 6 7 0 8 0 0 0 0 0    title/first/initial/conj/title/first/initial/last/suffix
396139687           1 2 3 8 9 0 0 0 0 0    title/first/initial/conj/title/first/initial/prefix/last
396139687           5 6 7 8 9 0 0 0 0 0    title/first/initial/conj/title/first/initial/prefix/last
3961396872          1 2 3 8 910 0 0 0 0    title/first/initial/conj/title/first/initial/prefix/last/jrsr
3961396872          5 6 7 8 9 0 0 0 0 0    title/first/initial/conj/title/first/initial/prefix/last/jrsr
39613968724         1 2 3 8 91011 0 0 0    title/first/initial/conj/title/first/initial/prefix/last/jrsr
39613968724         5 6 7 8 9 0 0 0 0 0    title/first/initial/conj/title/first/initial/prefix/last/jrsr
3961396874          1 2 3 8 9 010 0 0 0    title/first/initial/conj/title/first/initial/prefix/last/suffix
3961396874          5 6 7 8 9 0 0 0 0 0    title/first/initial/conj/title/first/initial/prefix/last/suffix
3961967             0 5 6 0 7 0 0 0 0 0    title/first/initial/conj/first/initial/last
3961967             1 2 3 0 7 0 0 0 0 0    title/first/initial/conj/first/initial/last
396197              0 5 0 0 6 0 0 0 0 0    title/first/initial/conj/first/last
396197              1 2 3 0 6 0 0 0 0 0    title/first/initial/conj/first/last
3967                1 2 3 0 4 0 0 0 0 0    title/first/initial/last
39672               1 2 3 0 4 5 0 0 0 0    title/first/initial/last/jrsr
396724              1 2 3 0 4 5 6 0 0 0    title/first/initial/last/jrsr/suffix
39674               1 2 3 0 4 0 5 0 0 0    title/first/initial/last/suffix
39687               1 2 3 4 5 0 0 0 0 0    title/first/initial/prefix/last
396872              1 2 3 4 5 6 0 0 0 0    title/first/initial/prefix/last/jrsr
3968724             1 2 3 4 5 6 7 0 0 0    title/first/initial/prefix/last/jrsr/suffix
396874              1 2 3 4 5 0 6 0 0 0    title/first/initial/prefix/last/suffix
39691967            0 6 7 0 8 0 0 0 0 0    title/first/middle/first(last)/conj/first/initial/last
39691967            1 2 3 0 4 0 0 0 0 0    title/first/middle/first(last)/conj/first/initial/last
3969197             0 6 0 0 7 0 0 0 0 0    title/first/middle/first(last)/conj/first/last
3969197             1 2 3 0 4 0 0 0 0 0    title/first/middle/first(last)/conj/first/last
397                 1 2 0 0 3 0 0 0 0 0    title/first/last
3972                1 2 0 0 3 4 0 0 0 0    title/first/last/jrsr
39724               1 2 0 0 3 4 5 0 0 0    title/first/last/jrsr/suffix
3974                1 2 0 0 3 0 4 0 0 0    title/first/last/suffix
3975                1 2 0 0 3 0 0 0 0 1    title/first/last/deceased
3987                1 2 0 3 4 0 0 0 0 0    title/first/prefix/last
39872               1 2 0 3 4 5 0 0 0 0    title/first/prefix/last/jrsr
398724              1 2 0 3 4 5 6 0 0 0    title/first/prefix/last/jrsr/suffix
39874               1 2 0 3 4 0 5 0 0 0    title/first/prefix/last/suffix
39913997            1 2 3 0 8 0 0 0 0 0    title/first/first/conj/title/first/first/last
39913997            5 6 7 0 8 0 0 0 0 0    title/first/first/conj/title/first/first/last
399139972           1 2 3 0 8 9 0 0 0 0    title/first/first/conj/title/first/first/last/jrsr
399139972           5 6 7 0 8 0 0 0 0 0    title/first/first/conj/title/first/first/last/jrsr
3991399724          1 2 3 0 8 910 0 0 0    title/first/first/conj/title/first/first/last/jrsr
3991399724          5 6 7 0 8 0 0 0 0 0    title/first/first/conj/title/first/first/last/jrsr
399139974           1 2 3 0 8 0 9 0 0 0    title/first/first/conj/title/first/first/last/suffix
399139974           5 6 7 0 8 0 0 0 0 0    title/first/first/conj/title/first/first/last/suffix
399139987           1 2 3 8 9 0 0 0 0 0    title/first/first/conj/title/first/first/prefix/last
399139987           5 6 7 8 9 0 0 0 0 0    title/first/first/conj/title/first/first/prefix/last
3991399872          1 2 3 8 910 0 0 0 0    title/first/first/conj/title/first/first/prefix/last/jrsr
3991399872          5 6 7 8 9 0 0 0 0 0    title/first/first/conj/title/first/first/prefix/last/jrsr
39913998724         1 2 3 8 91011 0 0 0    title/first/first/conj/title/first/first/prefix/last/jrsr
39913998724         5 6 7 8 9 0 0 0 0 0    title/first/first/conj/title/first/first/prefix/last/jrsr
3991399874          1 2 3 8 9 010 0 0 0    title/first/first/conj/title/first/first/prefix/last/suffix
3991399874          5 6 7 8 9 0 0 0 0 0    title/first/first/conj/title/first/first/prefix/last/suffix
3997                1 2 3 0 4 0 0 0 0 0    title/first/first/last
39972               1 2 3 0 4 5 0 0 0 0    title/first/first/last/jrsr
399724              1 2 3 0 4 5 6 0 0 0    title/first/first/last/jrsr/suffix
39974               1 2 3 0 4 0 5 0 0 0    title/first/first/last/suffix
39987               1 2 3 4 5 0 0 0 0 0    title/first/first/prefix/last
399872              1 2 3 4 5 6 0 0 0 0    title/first/first/prefix/last/jrsr
3998724             1 2 3 4 5 6 7 0 0 0    title/first/first/prefix/last/jrsr/suffix
399874              1 2 3 4 5 0 6 0 0 0    title/first/first/prefix/last/suffix
61667               0 1 0 0 5 0 0 0 0 0    initial/conj/initial/initial/last
61667               0 3 4 0 5 0 0 0 0 0    initial/conj/initial/initial/last
616672              0 1 0 0 5 6 0 0 0 0    initial/conj/initial/initial/last/jrsr
616672              0 3 4 0 5 0 0 0 0 0    initial/conj/initial/initial/last/jrsr
6166724             0 1 0 0 5 6 7 0 0 0    initial/conj/initial/initial/last/jrsr
6166724             0 3 4 0 5 0 0 0 0 0    initial/conj/initial/initial/last/jrsr
616674              0 1 0 0 5 0 6 0 0 0    initial/conj/initial/initial/last/suffix
616674              0 3 4 0 5 0 0 0 0 0    initial/conj/initial/initial/last/suffix
616687              0 1 0 5 6 0 0 0 0 0    initial/conj/initial/initial/prefix/last
616687              0 3 4 5 6 0 0 0 0 0    initial/conj/initial/initial/prefix/last
6166872             0 1 0 5 6 7 0 0 0 0    initial/conj/initial/initial/prefix/last/jrsr
6166872             0 3 4 5 6 0 0 0 0 0    initial/conj/initial/initial/prefix/last/jrsr
61668724            0 1 0 5 6 7 8 0 0 0    initial/conj/initial/initial/prefix/last/jrsr
61668724            0 3 4 5 6 0 0 0 0 0    initial/conj/initial/initial/prefix/last/jrsr
6166874             0 1 0 5 6 0 7 0 0 0    initial/conj/initial/initial/prefix/last/suffix
6166874             0 3 4 5 6 0 0 0 0 0    initial/conj/initial/initial/prefix/last/suffix
6167                0 1 0 0 4 0 0 0 0 0    initial/conj/initial/last
6167                0 3 0 0 4 0 0 0 0 0    initial/conj/initial/last
61672               0 1 0 0 4 5 0 0 0 0    initial/conj/initial/last/jrsr
61672               0 3 0 0 4 0 0 0 0 0    initial/conj/initial/last/jrsr
616724              0 1 0 0 4 5 6 0 0 0    initial/conj/initial/last/jrsr
616724              0 3 0 0 4 0 0 0 0 0    initial/conj/initial/last/jrsr
61674               0 1 0 0 4 0 5 0 0 0    initial/conj/initial/last/suffix
61674               0 3 0 0 4 0 0 0 0 0    initial/conj/initial/last/suffix
61687               0 1 0 4 5 0 0 0 0 0    initial/conj/initial/prefix/last
61687               0 3 0 4 5 0 0 0 0 0    initial/conj/initial/prefix/last
616872              0 1 0 4 5 6 0 0 0 0    initial/conj/initial/prefix/last/jrsr
616872              0 3 0 4 5 0 0 0 0 0    initial/conj/initial/prefix/last/jrsr
6168724             0 1 0 4 5 6 7 0 0 0    initial/conj/initial/prefix/last/jrsr
6168724             0 3 0 4 5 0 0 0 0 0    initial/conj/initial/prefix/last/jrsr
616874              0 1 0 4 5 0 6 0 0 0    initial/conj/initial/prefix/last/suffix
616874              0 3 0 4 5 0 0 0 0 0    initial/conj/initial/prefix/last/suffix
6197                0 1 0 0 4 0 0 0 0 0    initital/conj/first/last
6197                0 3 0 0 4 0 0 0 0 0    initital/conj/first/last
61997               0 1 0 0 5 0 0 0 0 0    initital/conj/first/first/last
61997               0 3 4 0 5 0 0 0 0 0    initital/conj/first/first/last
6613667             0 1 2 0 7 0 0 0 0 0    initial/initial/conj/title/initial/initial/last
6613667             4 5 6 0 7 0 0 0 0 0    initial/initial/conj/title/initial/initial/last
661667              0 1 2 0 6 0 0 0 0 0    initial/initial/conj/initial/initial/last
661667              0 4 5 0 6 0 0 0 0 0    initial/initial/conj/initial/initial/last
6616672             0 1 2 0 6 7 0 0 0 0    initial/initial/conj/initial/initial/last/jrsr
6616672             0 4 5 0 6 0 0 0 0 0    initial/initial/conj/initial/initial/last/jrsr
66166724            0 1 2 0 6 7 8 0 0 0    initial/initial/conj/initial/initial/last/jrsr
66166724            0 4 5 0 6 0 0 0 0 0    initial/initial/conj/initial/initial/last/jrsr
6616674             0 1 2 0 6 0 7 0 0 0    initial/initial/conj/initial/initial/last/suffix
6616674             0 4 5 0 6 0 0 0 0 0    initial/initial/conj/initial/initial/last/suffix
6616687             0 1 2 6 7 0 0 0 0 0    initial/initial/conj/initial/initial/prefix/last
6616687             0 4 5 6 7 0 0 0 0 0    initial/initial/conj/initial/initial/prefix/last
66166872            0 1 2 6 7 8 0 0 0 0    initial/initial/conj/initial/initial/prefix/last/jrsr
66166872            0 4 5 6 7 0 0 0 0 0    initial/initial/conj/initial/initial/prefix/last/jrsr
661668724           0 1 2 6 7 8 9 0 0 0    initial/initial/conj/initial/initial/prefix/last/jrsr
661668724           0 4 5 6 7 0 0 0 0 0    initial/initial/conj/initial/initial/prefix/last/jrsr
66166874            0 1 2 6 7 0 8 0 0 0    initial/initial/conj/initial/initial/prefix/last/suffix
66166874            0 4 5 6 7 0 0 0 0 0    initial/initial/conj/initial/initial/prefix/last/suffix
66167               0 1 2 0 5 0 0 0 0 0    initial/initial/conj/initial/last
66167               0 4 0 0 5 0 0 0 0 0    initial/initial/conj/initial/last
661672              0 1 2 0 5 6 0 0 0 0    initial/initial/conj/initial/last/jrsr
661672              0 4 0 0 5 0 0 0 0 0    initial/initial/conj/initial/last/jrsr
6616724             0 1 2 0 5 6 7 0 0 0    initial/initial/conj/initial/last/jrsr
6616724             0 4 0 0 5 0 0 0 0 0    initial/initial/conj/initial/last/jrsr
661674              0 1 2 0 5 0 6 0 0 0    initial/initial/conj/initial/last/suffix
661674              0 4 0 0 5 0 0 0 0 0    initial/initial/conj/initial/last/suffix
661687              0 1 2 5 6 0 0 0 0 0    initial/initial/conj/initial/prefix/last
661687              0 4 0 5 6 0 0 0 0 0    initial/initial/conj/initial/prefix/last
6616872             0 1 2 5 6 7 0 0 0 0    initial/initial/conj/initial/prefix/last/jrsr
6616872             0 4 0 5 6 0 0 0 0 0    initial/initial/conj/initial/prefix/last/jrsr
66168724            0 1 2 5 6 7 8 0 0 0    initial/initial/conj/initial/prefix/last/jrsr
66168724            0 4 0 5 6 0 0 0 0 0    initial/initial/conj/initial/prefix/last/jrsr
6616874             0 1 2 5 6 0 7 0 0 0    initial/initial/conj/initial/prefix/last/suffix
6616874             0 4 0 5 6 0 0 0 0 0    initial/initial/conj/initial/prefix/last/suffix
661697              0 1 2 0 6 0 0 0 0 0    initial/initial/conj/initial/first/last
661697              0 4 5 0 6 0 0 0 0 0    initial/initial/conj/initial/first/last
6616972             0 1 2 0 6 7 0 0 0 0    initial/initial/conj/initial/first/last/jrsr
6616972             0 4 5 0 6 0 0 0 0 0    initial/initial/conj/initial/first/last/jrsr
661897              0 1 2 0 6 0 0 0 0 0    initial/initial/conj/prefix(first)/first/last
661897              0 4 5 0 6 0 0 0 0 0    initial/initial/conj/prefix(first)/first/last
661927              0 1 2 0 6 0 0 0 0 0    initial/initial/conj/first/jrsr/last
661927              0 4 0 0 6 5 0 0 0 0    initial/initial/conj/first/jrsr/last
661957              0 1 2 0 6 0 0 0 0 0    initial/initial/conj/first/deceased/last
661957              0 4 0 0 6 0 0 0 0 1    initial/initial/conj/first/deceased/last
6619572             0 1 2 0 6 7 0 0 0 0    initial/initial/conj/first/deceased/last/jrsr
6619572             0 4 0 0 6 0 0 0 0 1    initial/initial/conj/first/deceased/last/jrsr
6619657             0 1 2 0 7 0 0 0 0 0    initial/initial/conj/first/initial/deceased/last
6619657             0 4 5 0 7 0 0 0 0 1    initial/initial/conj/first/initial/deceased/last
661967              0 1 2 0 6 0 0 0 0 0    initial/initial/conj/first/initial/last
661967              0 4 5 0 6 0 0 0 0 0    initial/initial/conj/first/initial/last
6619672             0 1 2 0 6 7 0 0 0 0    initial/initial/conj/first/initial/last/jrsr
6619672             0 4 5 0 6 0 0 0 0 0    initial/initial/conj/first/initial/last/jrsr
66197               0 1 2 0 5 0 0 0 0 0    initial/initial/conj/first/last
66197               0 4 0 0 5 0 0 0 0 0    initial/initial/conj/first/last
661972              0 1 2 0 5 6 0 0 0 0    initial/initial/conj/first/last/jrsr
661972              0 4 0 0 5 0 0 0 0 0    initial/initial/conj/first/last/jrsr
661997              0 1 2 0 6 0 0 0 0 0    initial/initial/conj/first/first/last
661997              0 4 5 0 6 0 0 0 0 0    initial/initial/conj/first/first/last
6619972             0 1 2 0 6 7 0 0 0 0    initial/initial/conj/first/first/last/jrsr
6619972             0 4 5 0 6 0 0 0 0 0    initial/initial/conj/first/first/last/jrsr
6621667             0 1 2 0 7 3 0 0 0 0    initial/initial/jrsr/conj/initial/initial/last
