DA                  0 
DAL                 DEL
DE                  0
DEL                 0 
DEN                 0 
DER                 0 
DES                 0
DI                  0
DU                  0
EL                  0      
LA                  0
LAS                 0
LE                  0
LOS                 0
MAC                 0
MC                  MAC
SAINT               0
ST                  SAINT     
VAN                 0 
VAN DER             0   
VANDE               VAN DER
VANDER              VAN DER
VER                 0   
VOM                 0     
VON                 0
